postcode,"Vb,map"
AB10,25.8
AB11,25.8
AB12,25.7
AB13,25.7
AB14,25.7
AB15,25.8
AB16,25.8
AB21,25.9
AB22,25.9
AB23,25.9
AB25,25.8
AB30,25.4
AB31,25.7
AB32,25.8
AB33,26
AB34,25.8
AB35,25.9
AB36,26.1
AB37,26.4
AB38,26.5
AB39,25.6
AB41,26.2
AB42,26.4
AB43,26.7
AB44,26.7
AB45,26.7
AB51,26.1
AB52,26.1
AB53,26.4
AB54,26.3
AB55,26.5
AB56,26.7
AL1,21.5
AL10,21.5
AL2,21.5
AL3,21.5
AL4,21.5
AL5,21.5
AL6,21.6
AL7,21.6
AL8,21.6
AL9,21.5
B1,21.7
B10,21.7
B11,21.7
B12,21.7
B13,21.7
B14,21.7
B15,21.7
B16,21.7
B17,21.7
B18,21.7
B19,21.7
B2,21.7
B20,21.7
B21,21.7
B23,21.7
B24,21.7
B25,21.7
B26,21.7
B27,21.7
B28,21.7
B29,21.7
B3,21.7
B30,21.7
B31,21.7
B32,21.7
B33,21.7
B34,21.7
B35,21.7
B36,21.7
B37,21.7
B38,21.7
B4,21.7
B40,21.7
B42,21.7
B43,21.7
B44,21.7
B45,21.7
B46,21.7
B47,21.7
B48,21.7
B49,21.7
B5,21.7
B50,21.6
B6,21.7
B60,21.7
B61,21.7
B62,21.7
B63,21.8
B64,21.8
B65,21.7
B66,21.7
B67,21.7
B68,21.7
B69,21.7
B7,21.7
B70,21.7
B71,21.7
B72,21.7
B73,21.7
B74,21.7
B75,21.7
B76,21.7
B77,21.7
B78,21.7
B79,21.7
B8,21.7
B80,21.7
B9,21.7
B90,21.7
B91,21.7
B92,21.7
B93,21.7
B94,21.7
B95,21.7
B96,21.7
B97,21.7
B98,21.7
BA1,21.8
BA10,22
BA11,21.8
BA12,21.8
BA13,21.7
BA14,21.7
BA15,21.8
BA16,22.1
BA2,21.8
BA20,22.1
BA21,22.1
BA22,22.1
BA3,21.9
BA4,22
BA5,22
BA6,22.1
BA7,22
BA8,22
BA9,22
BB1,23.2
BB10,23
BB11,23
BB12,23.1
BB18,23.1
BB2,23.2
BB3,23.1
BB4,23
BB5,23.1
BB6,23.2
BB7,23.2
BB8,23
BB9,23.1
BD1,22.7
BD10,22.8
BD11,22.6
BD12,22.7
BD13,22.8
BD14,22.7
BD15,22.8
BD16,22.8
BD17,22.8
BD18,22.8
BD19,22.6
BD2,22.7
BD20,23
BD21,22.9
BD22,22.9
BD23,23.1
BD24,23.3
BD3,22.7
BD4,22.7
BD5,22.7
BD6,22.7
BD7,22.7
BD8,22.8
BD9,22.8
BH1,21.8
BH10,21.8
BH11,21.8
BH12,21.8
BH13,21.9
BH14,21.9
BH15,21.9
BH16,21.9
BH17,21.8
BH18,21.8
BH19,22
BH2,21.8
BH20,22
BH21,21.8
BH22,21.8
BH23,21.8
BH24,21.7
BH25,21.8
BH3,21.8
BH31,21.7
BH4,21.8
BH5,21.8
BH6,21.8
BH7,21.8
BH8,21.8
BH9,21.8
BL0,22.9
BL1,23
BL2,22.9
BL3,22.9
BL4,22.9
BL5,23
BL6,23
BL7,23
BL8,22.9
BL9,22.8
BN1,21.7
BN10,21.8
BN11,21.7
BN12,21.7
BN13,21.7
BN14,21.7
BN15,21.7
BN16,21.6
BN17,21.6
BN18,21.6
BN2,21.7
BN20,21.8
BN21,21.9
BN22,21.9
BN23,21.9
BN24,21.9
BN25,21.8
BN26,21.8
BN27,21.8
BN3,21.7
BN41,21.7
BN42,21.7
BN43,21.7
BN44,21.7
BN45,21.7
BN5,21.7
BN6,21.7
BN7,21.7
BN8,21.7
BN9,21.8
BR1,21.6
BR2,21.6
BR3,21.6
BR4,21.6
BR5,21.6
BR6,21.6
BR7,21.6
BR8,21.7
BS1,22
BS10,22
BS11,22
BS13,22
BS14,22
BS15,21.9
